"FULLADDR","BLOCKLOT","Ownership","Orig_Criteria","Current_Criteria","VRPA"
"1119 W LOMBARD ST","0250 049","City","In Rem Eligible VBN","In Rem Eligible VBN","Southwest Partnership IIA"
"114 S ARLINGTON AVE","0250 065","Private","VBNs with open permits for increment","Tranche Zero permits expired","Southwest Partnership IIA"
"1108 HARLEM AVE","0103 024","Private","VBNs with open permits for increment","Tranche Zero permits expired","Harlem Park"
"1104 HARLEM AVE","0103 026","Private","MCC-owned VBN","MCC-owned VBN","Harlem Park"
"1317 VALLEY ST","1144 009","City","MCC-owned VBN","MCC-owned VBN","Johnston Square IIA"
"1319 VALLEY ST","1144 010","City","MCC-owned VBN","MCC-owned VBN","Johnston Square IIA"
"1325 VALLEY ST","1144 013","Private","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Johnston Square IIA"
"1329 VALLEY ST","1144 015","Private","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Johnston Square IIA"
"1308 ENSOR ST","1144 044","City","MCC-owned VBN","MCC-owned VBN","Johnston Square IIA"
"910 E PRESTON ST","1144 059","City","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Johnston Square IIA"
"1302 AISQUITH ST","1145 017","Private","VBNs with open permits for increment","Tranche Zero permits expired","Oliver Strategic Blocks"
"1308 AISQUITH ST","1145 020","City","In Rem Eligible VBN","In Rem Eligible VBN","Oliver Strategic Blocks"
"1310 AISQUITH ST","1145 021","City","In Rem Eligible VBN","In Rem Eligible VBN","Oliver Strategic Blocks"
"1316 AISQUITH ST","1145 024","City","In Rem Eligible VBN","In Rem Eligible VBN","Oliver Strategic Blocks"
"917 HARLEM AVE","0116 031","Private","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Harlem Park"
"919 HARLEM AVE","0116 032","Private","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Harlem Park"
"921 HARLEM AVE","0116 033","Private","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Harlem Park"
"923 HARLEM AVE","0116 034","Private","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Harlem Park"
"925 HARLEM AVE","0116 035","Private","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Harlem Park"
"936 HARLEM AVE","0104 035","Private","MCC-owned VBN","MCC-owned VBN","Harlem Park"
"926 HARLEM AVE","0104 040","City","MCC-owned VBN","MCC-owned VBN","Harlem Park"
