,FULLADDR,BLOCKLOT,Ownership,Orig_Criteria,Current_Criteria,VRPA
87,114 S FULTON AVE,0243 059,Private,In Rem Eligible VBN,In Rem Eligible VBN,Carrollton Ridge
88,112 S FULTON AVE,0243 060,Private,In Rem Eligible VBN,In Rem Eligible VBN,Carrollton Ridge
262,1524 HOMESTEAD ST,4108 018,Private,In Rem Eligible VBN,In Rem Eligible VBN,Coldstream Homestead Montebello IIA
245,1502 CARSWELL ST,4132 001A,Private,In Rem Eligible VBN,In Rem Eligible VBN,Coldstream Homestead Montebello IIA
226,2876 HARFORD ROAD,3937 003,City,MCC-owned VBN,MCC-owned VBN,Coldstream Homestead Montebello IIA
227,2866 HARFORD ROAD,3937 008,City,ARPA Acquisition,ARPA Acquisition,Coldstream Homestead Montebello IIA
228,2862 HARFORD ROAD,3937 010,Private,ARPA Acquisition,ARPA Acquisition,Coldstream Homestead Montebello IIA
229,2854 HARFORD ROAD,3937 014,City,Vacant Buildings Necessary for Development Project,Vacant Buildings Necessary for Development Project,Coldstream Homestead Montebello IIA
230,2791 THE ALAMEDA ,3935 060,City,ARPA Acquisition,ARPA Acquisition,Coldstream Homestead Montebello IIA
235,2713 THE ALAMEDA ,3935 021,Private,ARPA Acquisition,ARPA Acquisition,Coldstream Homestead Montebello IIA
246,1508 CARSWELL ST,4132 002,Private,In Rem Eligible VBN,In Rem Eligible VBN,Coldstream Homestead Montebello IIA
236,2725 THE ALAMEDA ,3935 027,City,ARPA Acquisition,ARPA Acquisition,Coldstream Homestead Montebello IIA
237,2789 THE ALAMEDA ,3935 059,Private,In Rem Eligible VBN,In Rem Eligible VBN,Coldstream Homestead Montebello IIA
240,1526 GORSUCH AVE,4131 008,Private,VBNs with open permits for increment,VBNs with open permits for increment,Coldstream Homestead Montebello IIA
241,1553 CARSWELL ST,4131 028,Private,In Rem Eligible VBN,In Rem Eligible VBN,Coldstream Homestead Montebello IIA
242,1549 CARSWELL ST,4131 029A,Private,In Rem Eligible VBN,In Rem Eligible VBN,Coldstream Homestead Montebello IIA
244,1519 CARSWELL ST,4131 039B,Private,In Rem Eligible VBN,In Rem Eligible VBN,Coldstream Homestead Montebello IIA
247,1554 CARSWELL ST,4132 020,City,In Rem Eligible VBN,In Rem Eligible VBN,Coldstream Homestead Montebello IIA
